subject_code,batch,section,lab_slot,building,room_no,main_faculty_id,cofaculty_id
21CSC302J,1,AO1,DO4 P31-P34,I-MAC Lab,C,103020,103019
21CSC302J,1,AP1,DO3 P27-P30,,I-Mac Lab C,103019,103020
21CSC302J,1,AQ1,DO5 P47-P50,,I-Mac Lab C,103954,101945
21CSC302J,2,AP2,DO2 P17-P20,,I-Mac Lab C,102945,102805
21CSC302J,2,AO2,DO3 P21-P24,,I-Mac Lab C,102669,103161
21CSC302J,2,AQ2,DO1 P01-P04,,UB1215A,103421,102943
21CSC302J,2,AR2,DO5 P41-P44,,UB817A,103223,102928
21CSC302J,1,AR1,DO3 P27-P30,,UB1215B,103436,102401
21CSC302J,1,AS1,DO5 P47-P50,,UB817B,103298,102957
21CSC302J,2,AS2,DO1 P1-P4,,I-Mac Lab C,102957,102942
21CSC302J,1,AT1,DO2 P11-P14,,I-Mac Lab C,102826,102961
21CSC302J,2,AT2,DO5 P41-P44,I-MAC Lab,C,102957,103151
21CSC202J,1,AP1,DO5 P47-P50,,UB1215B,103780,102932
21CSC202J,1,AQ1,DO4 P31-P34,,UB1215B,102361,102401
21CSC202J,1,AR1,DO5 P47-P50,,UB1215A,102961,103482
21CSC202J,1,AS1,DO2 P11-P14,,UB1215B,103101,102927
21CSC202J,1,AT1,DO4 P31-P34,,UB1215A,102453,103492
21CSC202J,2,AO2,DO5 P41-P44,,UB1215A,102810,103189
21CSC202J,2,AP2,DO3 P21-P24,,UB817A,100391,103047
21CSC202J,2,AQ2,DO1 P01-P04,,UB1215B,103809,100391
21CSC202J,2,AR2,DO4 P37-P40,,UB1215B,103305,102933
21CSC202J,2,AS2,DO4 P37-P40,,UB1215A,103179,103180
21CSC202J,2,AT2,DO1 P1-P4,,UB817A,102933,102879
21CSC201J,1,AP1,DO1 P7-P10,,UB817A,103649,102763
21CSC201J,1,AQ1,DO2 P11-P14,,UB817B,103182,103044
21CSC201J,1,AR1,DO3 P27-P30,,UB817A,103140,103048
21CSC201J,1,AS1,DO5 P47-P50,,UB817A,103058,102817
21CSC201J,1,AT1,DO2 P11-P14,,UB817A,103268,103176
21CSC201J,2,AO2,DO1 P1-P4,,UB817B,103897,103269
21CSC201J,2,AP2,DO4 P37-P40,,UB817B,102763,103491
21CSC201J,2,AQ2,DO3 P21-P24,,UB1215A,103021,103735
21CSC201J,2,AR2,DO2 P17-P20,,UB817B,102673,103156
21CSC201J,2,AS2,DO3 P21-P24,,UB817B,103808,103101
21CSC201J,2,AT2,DO4 P37-P40,,UB817A,103212,103421
21CSC555J,1,Batch1,DO2 P17-P20,,UB817A,103970,103254
21CSC554J,1,Batch1,DO3 P21-P24,,UB1215B,103941,102955
21IPC501J,1,Batch1,DO5 P41-P44,,UB817B,102805,103897
21CSC555J,,Batch 2,DO5 P41-P44,,UB1215B,102754,103649
21CSC554J,,Batch 2,DO2 P17-P20,,UB1215B,103941,102928
21IPC501J,,Batch 2,DO2 P17-P20,,UB1215A,103151,103436
21CSC206P,1,AP1,D1,TP1,804,102805,103157
21CSC206P,1,AQ1,D1,TP1,805,103177,103039
21CSC206P,1,AR1,D1,TP1,806,103176,103493
21CSC206P,1,AS1,D1,TP1,1506,102928,103176
21CSC206P,1,AT1,D1,TP1,1505,103269,103946
21CSC206P,2,AO2,D2,TP1,803,102817,103970
21CSC206P,2,AP2,D2,TP1,804,103044,103179
21CSC206P,2,AQ2,D2,TP1,805,101949,103820
21CSC206P,,AR2 & AS2,D2,TP1,806,103161,103174
21CSC203P,2,AS2,D2,TP1,1506,101956,103427
21CSC307P,1,AO1,F1,TP2,CLS619,103573,103970
21CSC307P,1,AP1,F1,TP2,CLS619,100390,103941
21CSC307P,1,AQ1,F1,TP2,LH506,103180,102669
21CSC307P,1,AR1,F1,TP2,LH518,101926,103268
21CSC307P,1,AS1,F1,TP2,LH519,102955,103058
21CSC307P,2,AO2,F2,TP2,CLS619,103254,103970
21CSC307P,2,AP2,F2,TP2,CLS619,101930,103174
21CSC307P,2,AQ2,F2,TP2,LH605,103891,103182
