Category,S.No,Course Code,Course Name,Semester,Slot,Dept,L,T,P,C,Hours
Elective ODD - 2021 Regulation,1,21CSE315T,Conversational Systems,V,B,DSBS,,,,,
Elective ODD - 2021 Regulation,2,21CSE321T,Data Warehousing and Data Mining,V,B,DSBS,,,,,
Elective ODD - 2021 Regulation,3,21CSE326T,Artificial Neural Networks,V,B,DSBS,,,,,
Elective ODD - 2021 Regulation,4,21CSE331T,Cryptocurrencies and Blockchain Technology,V,B,DSBS,,,,,
Elective ODD - 2021 Regulation,5,21CSE339T,Game Artificial Intelligence,V,B,DSBS,,,,,
Elective ODD - 2021 Regulation,6,21CSE374T,Machine Learning for Enterprise,V,B,DSBS,,,,,
Elective ODD - 2021 Regulation,7,21CSE389T,Environmental Hydrology For Data Science,V,B,DSBS,,,,,
Elective ODD - 2021 Regulation,8,21CSE740T,Technologies for Smart Mega Factories,V,B,DSBS,,,,,
Elective ODD - 2021 Regulation,9,21CSE741T,Photogrammetry for Mapping and Surveying with UAVs,V,B,DSBS,,,,,
Elective ODD - 2021 Regulation,10,21IPE336T,Advanced Java Programming - offered by VOLVO,V,B,DSBS,,,,,
Elective ODD - 2021 Regulation,11,21CSE421T,Business Intelligence and Analytics,VII,A,DSBS,,,,,
Elective ODD - 2021 Regulation,12,21CSE426T,Financial Machine Learning,VII,A,DSBS,,,,,
Elective ODD - 2021 Regulation,13,21CSE430T,Automatic Speech Recognition,VII,A,DSBS,,,,,
Elective ODD - 2021 Regulation,14,21CSE431T,Building Private Blockchain,VII,A,DSBS,,,,,
Elective ODD - 2021 Regulation,15,21CSE432T,Blockchain Technology with Hyperledger,VII,A,DSBS,,,,,
Elective ODD - 2021 Regulation,16,21CSE441T,Mobile Game Development,VII,A,DSBS,,,,,
Elective ODD - 2021 Regulation,17,21CSE442T,Game Monetization Techniques,VII,A,DSBS,,,,,
Elective ODD - 2021 Regulation,18,21CSE484T,Enterprise Systems,VII,A,DSBS,,,,,
Elective ODD - 2021 Regulation,19,21CSE423T,Big Data Visualization,VII,B,DSBS,,,,,
Elective ODD - 2021 Regulation,20,21CSE428T,Healthcare Analytics,VII,B,DSBS,,,,,
Elective ODD - 2021 Regulation,21,21CSE433T,Blockchain Business Models,VII,B,DSBS,,,,,
Elective ODD - 2021 Regulation,22,21CSE434T,Distributed Ledger Technology,VII,B,DSBS,,,,,
Elective ODD - 2021 Regulation,23,21CSE443T,Game Production and Publishing,VII,B,DSBS,,,,,
Elective ODD - 2021 Regulation,24,21CSE444T,Applied Gamification,VII,B,DSBS,,,,,
