faculty_id,subject_code,class_type,batch,section,slot,building,room_no
102754,26CSE1001J,Theory,1,1,E,,
102863,26CSE1001J,Theory,1,1,E,,
102673,26CSE1001J,Theory,1,1,E,,
102879,26CSE1001J,Theory,1,1,E,,
103024,26CSE1001J,Theory,1,1,E,,
103039,26CSE1001J,Theory,1,1,E,,
103040,26CSE1001J,Theory,2,2,E,,
103048,26CSE1001J,Theory,2,2,E,,
103045,26CSE1001J,Theory,2,2,E,,
103047,26CSE1001J,Theory,2,2,E,,
103457,21CSS202T,Theory,1,AP1,C,TP1,804
102937,21CSS202T,Theory,1,AQ1,C,TP1,805
101927,21CSS202T,Theory,1,AR1,C,TP1,806
103157,21CSS202T,Theory,1,AS1,C,TP1,1506
102943,21CSS202T,Theory,1,AT1,C,TP1,1505
103491,21CSS202T,Theory,2,AO2,C,TP1,803
103157,21CSS202T,Theory,2,AP2,C,TP1,804
103189,21CSS202T,Theory,2,AQ2,C,TP1,805
102927,21CSS202T,Theory,2,AR2,C,TP1,806
103157,21CSS202T,Theory,2,AS2,C,TP1,804
103238,21CSS201T,Theory,2,AS2,C,TP1,1506
103047,21CSS201T,Theory,2,AT2,C,TP1,1505
103649,21CSC201J,Theory,1,AP1,B,TP1,804
103182,21CSC201J,Theory,1,AQ1,B,TP1,805
103140,21CSC201J,Theory,1,AR1,B,TP1,806
103021,21CSC201J,Theory,1,AS1,B,TP1,1506
103268,21CSC201J,Theory,1,AT1,B,TP1,1505
103808,21CSC201J,Theory,2,AO2,B,TP1,803
102763,21CSC201J,Theory,2,AP2,B,TP1,804
103021,21CSC201J,Theory,2,AQ2,B,TP1,805
103140,21CSC201J,Theory,2,AR2,B,TP1,806
103897,21CSC201J,Theory,2,AS2,B,TP1,1506
103212,21CSC201J,Theory,2,AT2,B,TP1,1505
103780,21CSC202J,Theory,1,AP1,F,TP1,804
102361,21CSC202J,Theory,1,AQ1,F,TP1,805
102961,21CSC202J,Theory,1,AR1,F,TP1,806
103101,21CSC202J,Theory,1,AS1,F,TP1,1506
102453,21CSC202J,Theory,1,AT1,F,TP1,1505
102810,21CSC202J,Theory,2,AO2,F,TP1,803
100391,21CSC202J,Theory,2,AP2,F,TP1,804
103809,21CSC202J,Theory,2,AQ2,F,TP1,805
103305,21CSC202J,Theory,2,AR2,F,TP1,806
103179,21CSC202J,Theory,2,AS2,F,TP1,1506
102933,21CSC202J,Theory,2,AT2,F,TP1,1505
103457,21LEM202T,Theory,1,AP1,G,,e-Curricula
102361,21LEM202T,Theory,1,AQ1,G,,e-Curricula
102961,21LEM202T,Theory,1,AR1,G,,e-Curricula
103021,21LEM202T,Theory,1,AS1,G,,e-Curricula
103269,21LEM202T,Theory,1,AT1,G,,e-Curricula
103897,21LEM202T,Theory,2,AO2,G,,e-Curricula
